ID1,ID2,Special
1,BAFAun,
2,BAFAunp,
3,BGdh_OR,
4,BGdw_WA,
5,BGmk_ID,
6,BGmk_MT,
7,BGmw_WA,
8,BGwm_WA,
9,BGxh_WA,
10,BGxh1,
11,BGxh2,
12,BGxh3,
13,BGxw1,
14,BGxw2,
15,BSJPap,
16,BSJPku,
17,BSJPpa,
18,BWBScm,
19,BWBSdk,
20,BWBSdm,
21,BWBSlb,
22,BWBSlf,
23,BWBSmk,
24,BWBSmw,
25,BWBSnm,
26,BWBSpp,
27,BWBSub,
28,BWBSuf,
29,BWBSvk,snow
30,BWBSwk1,
31,BWBSwk2,
32,BWBSwk3,
33,CCH,
34,CDFmm,
35,CDFmm_OR,
36,CDFmm_WA,
37,CDFxm_CA,
38,CMAun,
39,CMAun_CA,
40,CMAun_OR,
41,CMAun_WA,
42,CMAunp,
43,CMAwh,
44,CMXdm_OR,
45,CMXwm_OR,
46,CMXxm_CA,
47,CRF,
48,CVG,
49,CWFds_CA,
50,CWFmm_OR,
51,CWFwm_OR,
52,CWHdm,
53,CWHdm_OR,
54,CWHdm_WA,
55,CWHds_WA,
56,CWHds1,
57,CWHds2,
58,CWHmh_OR,
59,CWHmm1,
60,CWHmm2,
61,CWHms_OR,
62,CWHms_WA,
63,CWHms1,
64,CWHms2,
65,CWHvh_WA,
66,CWHvh1,
67,CWHvh2,
68,CWHvh3,
69,CWHvm_OR,
70,CWHvm_WA,
71,CWHvm1,
72,CWHvm2,
73,CWHwh_WA,
74,CWHwh1,
75,CWHwh2,
76,CWHwm,
77,CWHws1,
78,CWHws2,
79,CWHxm_OR,
80,CWHxm_WA,
81,CWHxm1,
82,CWHxm2,
83,ESSFab,
84,ESSFdc1,
85,ESSFdc2,
86,ESSFdc3,
87,ESSFdcp,
88,ESSFdcw,
89,ESSFdh_WA,
90,ESSFdk_MT,
91,ESSFdk1,
92,ESSFdk2,
93,ESSFdkp,
94,ESSFdkp_MT,
95,ESSFdkw,
96,ESSFdm_ID,
97,ESSFdmp_ID,
98,ESSFdv1,
99,ESSFdv2,
100,ESSFdvp,
101,ESSFdvw,
102,ESSFmc,
103,ESSFmcp,
104,ESSFmh,
105,ESSFmk,
106,ESSFmkp,
107,ESSFmm1,
108,ESSFmm2,
109,ESSFmm3,
110,ESSFmmp,
111,ESSFmmw,
112,ESSFmv1,
113,ESSFmv2,
114,ESSFmv3,
115,ESSFmv4,
116,ESSFmvp,
117,ESSFmw,
118,ESSFmw_WA,
119,ESSFmw1,
120,ESSFmw2,
121,ESSFmwp,
122,ESSFmwp_WA,
123,ESSFmww,
124,ESSFun,
125,ESSFunp,
126,ESSFvc,
127,ESSFvcp,
128,ESSFvcw,
129,ESSFvh_ID,
130,ESSFwc2,
131,ESSFwc3,
132,ESSFwc4,
133,ESSFwcp,
134,ESSFwcw,
135,ESSFwh_MT,
136,ESSFwh1,
137,ESSFwh2,
138,ESSFwh3,
139,ESSFwk1,
140,ESSFwk2,
141,ESSFwm_MT,
142,ESSFwm1,
143,ESSFwm2,
144,ESSFwm3,
145,ESSFwm4,
146,ESSFwmp,
147,ESSFwmp_MT,
148,ESSFwmw,
149,ESSFwv,
150,ESSFwvp,
151,ESSFxc_CO,
152,ESSFxc_WA,
153,ESSFxc1,
154,ESSFxc2,
155,ESSFxc3,
156,ESSFxcp,
157,ESSFxcp_CO,
158,ESSFxcp_WA,
159,ESSFxcw,
160,ESSFxh_WA,
161,ESSFxk_MT,
162,ESSFxk_UT,
163,ESSFxkp_MT,
164,ESSFxkp_UT,
165,ESSFxv1,
166,ESSFxv2,
167,ESSFxvp,
168,ESSFxvw,
169,ESSFxw_OR,
170,ESSFxwp_OR,
171,FG,
172,FGff,
173,FGnf,
174,GBDdw_UT,
175,GBDxh_NV,
176,GBDxx_UT,
177,GO,
178,ICHdh_ID,
179,ICHdk,
180,ICHdm,
181,ICHdm_BC,
182,ICHdw_ID,
183,ICHdw1,
184,ICHdw3,
185,ICHdw4,
186,ICHmc1,
187,ICHmc1a,
188,ICHmc2,
189,ICHmh_MT,
190,ICHmk1,
191,ICHmk2,
192,ICHmk3,
193,ICHmk4,
194,ICHmk5,
195,ICHmm,
196,ICHmw_MT,
197,ICHmw1,
198,ICHmw2,
199,ICHmw3,
200,ICHmw4,
201,ICHmw5,
202,ICHvc,snow
203,ICHvk_ID,snow
204,ICHvk1,snow
205,ICHvk2,snow
206,ICHwc,
207,ICHwk1,
208,ICHwk2,
209,ICHwk3,
210,ICHwk4,
211,ICHxw,
212,ICHxw_WA,
213,ICHxwa,
214,IDFdc,
215,IDFdh_MT,
216,IDFdh_UT,
217,IDFdh_WA,
218,IDFdk_MT,
219,IDFdk_WA,
220,IDFdk1,
221,IDFdk2,
222,IDFdk3,
223,IDFdk4,
224,IDFdk5,
225,IDFdm_MT,
226,IDFdm_WA,
227,IDFdm1,
228,IDFdm2,
229,IDFdw,
230,IDFdx_MT,
231,IDFmw1,
232,IDFmw2,
233,IDFww,
234,IDFww1,
235,IDFxc,
236,IDFxh_ID,
237,IDFxh_WA,
238,IDFxh1,
239,IDFxh2,
240,IDFxh4,
241,IDFxk,
242,IDFxm,
243,IDFxm_CO,
244,IDFxw,
245,IDFxx_MT,
246,IDFxx_WA,
247,IDFxx2,
248,IGFdk_WA,
249,IGFdw_OR,
250,IGFmm_OR,
251,IMAab,
252,IMAun,
253,IMAun_CO,
254,IMAun_MT,
255,IMAun_WA,
256,IMAun_WY,
257,IMAunp,
258,IWFdm_CO,
259,IWFdw_OR,
260,IWFxm_CA,
261,JPWdm_WY,
262,JPWdw_UT,
263,JPWmk_WY,
264,JPWwm_CO,
265,JPWxw_NV,
266,MDCH,
267,MGP,
268,MGPdm,
269,MGPmg,
270,MHdm_OR,
271,MHds_OR,
272,MHmm_WA,
273,MHmm1,
274,MHmm2,
275,MHmmp,
276,MHmmp_WA,
277,MHms_WA,
278,MHmsp_WA,
279,MHRFdm_OR,
280,MHRFds_CA,
281,MHRFdsp_CA,
282,MHRFmm_OR,
283,MHRFmmp_OR,
284,MHun,
285,MHunp,
286,MHwh,
287,MHwh1,
288,MHwhp,
289,MSab,
290,MSdc1,
291,MSdc2,
292,MSdc3,
293,MSdh_UT,
294,MSdh_WY,
295,MSdk,
296,MSdk_CO,
297,MSdm_WA,
298,MSdm1,
299,MSdm2,
300,MSdm3,
301,MSdv,
302,MSdw,
303,MSdw_MT,
304,MSmm_ID,
305,MSmw1,
306,MSmw2,
307,MSSD,
308,MSxh_OR,
309,MSxk_WA,
310,MSxk1,
311,MSxk2,
312,MSxk3,
313,MSxm_CO,
314,MSxv,
315,MSxx_NV,
316,OW,
317,PPmx_WY,
318,PPxh_CO,
319,PPxh_WA,
320,PPxh1,
321,PPxh2,
322,PPxh3,
323,PPxk_OR,
324,PPxm_OR,
325,PPxw_MT,
326,PPxx_OR,
327,SASbo,
328,SBAP,
329,SBAPcp,
330,SBAPfp,
331,SBPSdc,
332,SBPSmc,
333,SBPSmk,
334,SBPSxc,
335,SBSdh1,
336,SBSdh2,
337,SBSdk,
338,SBSdw1,
339,SBSdw2,
340,SBSdw3,
341,SBSmc1,
342,SBSmc2,
343,SBSmc3,
344,SBSmh,
345,SBSmk1,
346,SBSmk2,
347,SBSmm,
348,SBSmw,
349,SBSun,
350,SBSvk,snow
351,SBSwk1,
352,SBSwk2,
353,SBSwk3,
354,SBSwk3a,
355,SGP,
356,SWBmk,
357,SWBmks,
358,SWBun,
359,SWBuns,
360,SWBvk,snow
361,SWBvks,snow
362,WJP,
