"","BGC","rSMR0","rSMR1","rSMR2","rSMR3","rSMR4","rSMR5","rSMR6","rSMR7"
"1","BAFAun",3,3.5,4.5,5,5.5,6.5,8,8
"2","BAFAunp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"3","BGxh1",0.5,0.5,0.5,0.5,1,3.5,5.5,7.5
"4","BGxh2",0.5,0.5,0.5,0.5,1,3.5,5.5,7.5
"5","BGxh3",0.5,0.5,0.5,0.5,1.5,3.5,5.5,7.5
"6","BGxw1",0.5,0.5,0.5,1,2,3.5,5.5,7.5
"7","BGxw2",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"8","BWBSdk",2,2.5,3,4,4.5,6,7,8
"9","BWBSmk",2,2.5,3,4,4.5,6,7,8
"10","BWBSmw",1.5,2,3,3.5,4,5.5,6.5,8
"11","BWBSvk",3,4,4.5,5,6,6.5,8,8
"12","BWBSwk1",2.5,3,3.5,4.5,5,6,7,8
"13","BWBSwk2",2,2.5,3.5,4,4.5,6,7,8
"14","BWBSwk3",2.5,3,4,4.5,5,6.5,7.5,8
"15","CDFmm",1.5,2,2.5,3.5,4,5,6.5,8
"16","CMAun",3,3.5,4.5,5,5.5,6.5,8,8
"17","CMAunp",3,3.5,4.5,5,6,6.5,8,8
"18","CMAwh",3,3.5,4.5,5,6,6.5,8,8
"19","CWHdm",2.5,3,3.5,4.5,5,6,7,8
"20","CWHds1",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"21","CWHds2",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"22","CWHmm1",2.5,3,3.5,4.5,5,6,7,8
"23","CWHmm2",2.5,3,3.5,4.5,5,6,7,8
"24","CWHms1",2,3,3.5,4,5,6,7,8
"25","CWHms2",2.5,3,3.5,4.5,5,6,7,8
"26","CWHvh1",3,3.5,4.5,5,6,6.5,8,8
"27","CWHvh2",3,3.5,4.5,5,6,6.5,8,8
"28","CWHvh3",3,3.5,4.5,5,6,6.5,8,8
"29","CWHvm1",3,3.5,4.5,5,5.5,6.5,7.5,8
"30","CWHvm2",3,3.5,4.5,5,5.5,6.5,8,8
"31","CWHwh1",3,3.5,4,5,5.5,6.5,7.5,8
"32","CWHwh2",3,3.5,4.5,5,6,6.5,8,8
"33","CWHwm",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"34","CWHws1",2,2.5,3.5,4,4.5,6,7,8
"35","CWHws2",2.5,3,3.5,4.5,5,6,7,8
"36","CWHxm1",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"37","CWHxm2",2,2.5,3.5,4,4.5,6,7,8
"38","ESSFdc1",2.5,3,4,4.5,5,6.5,7.5,8
"39","ESSFdc2",2,2.5,3.5,4,4.5,6,7,8
"40","ESSFdc3",2,3,3.5,4,5,6,7,8
"41","ESSFdcp",3,3.5,4,5,5.5,6.5,7.5,8
"42","ESSFdcw",2.5,3,3.5,4.5,5,6,7,8
"43","ESSFdk1",2,3,3.5,4,5,6,7,8
"44","ESSFdk2",2.5,3,3.5,4.5,5,6,7,8
"45","ESSFdkp",3,3.5,4.5,5,5.5,6.5,8,8
"46","ESSFdkw",2.5,3,4,4.5,5,6.5,7.5,8
"47","ESSFdv1",2,2.5,3.5,4,4.5,6,7,8
"48","ESSFdv2",2,3,3.5,4,5,6,7,8
"49","ESSFdvp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"50","ESSFdvw",2,2.5,3.5,4,4.5,6,7,8
"51","ESSFmc",2.5,3,4,4.5,5,6.5,7.5,8
"52","ESSFmcp",3,3.5,4,5,5.5,6.5,7.5,8
"53","ESSFmh",2,3,3.5,4,5,6,7,8
"54","ESSFmk",2,3,3.5,4,5,6,7,8
"55","ESSFmkp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"56","ESSFmm1",2,3,3.5,4,5,6,7,8
"57","ESSFmm2",2,3,3.5,4,5,6,7,8
"58","ESSFmm3",2.5,3,4,4.5,5,6.5,7.5,8
"59","ESSFmmp",3,3.5,4.5,5,5.5,6.5,8,8
"60","ESSFmmw",2.5,3,3.5,4.5,5,6,7,8
"61","ESSFmv1",1.5,2,3,3.5,4,5.5,6.5,8
"62","ESSFmv2",2.5,3,3.5,4.5,5,6,7,8
"63","ESSFmv3",2,2.5,3.5,4,4.5,6,7,8
"64","ESSFmv4",2.5,3,4,4.5,5,6.5,7.5,8
"65","ESSFmvp",3,3.5,4.5,5,5.5,6.5,8,8
"66","ESSFmw",2,2.5,3.5,4,4.5,6,7,8
"67","ESSFmw1",2,2.5,3.5,4,4.5,6,7,8
"68","ESSFmw2",2,3,3.5,4,5,6,7,8
"69","ESSFmwp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"70","ESSFmww",2.5,3,3.5,4.5,5,6,7,8
"71","ESSFun",2.5,3,3.5,4.5,5,6,7,8
"72","ESSFunp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"73","ESSFvc",3,3.5,4,5,5.5,6.5,7.5,8
"74","ESSFvcp",3,3.5,4.5,5,6,6.5,8,8
"75","ESSFvcw",3,3.5,4.5,5,6,6.5,8,8
"76","ESSFwc2",3,3.5,4,5,5.5,6.5,7.5,8
"77","ESSFwc3",3,3.5,4.5,5,6,6.5,8,8
"78","ESSFwc4",3,3.5,4,5,5.5,6.5,7.5,8
"79","ESSFwcp",3,3.5,4.5,5,6,6.5,8,8
"80","ESSFwcw",3,3.5,4.5,5,6,6.5,8,8
"81","ESSFwh1",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"82","ESSFwh2",2.5,3,3.5,4.5,5,6,7,8
"83","ESSFwh3",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"84","ESSFwk1",3,3.5,4,5,5.5,6.5,7.5,8
"85","ESSFwk2",3,3.5,4.5,5,5.5,6.5,7.5,8
"86","ESSFwm1",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"87","ESSFwm2",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"88","ESSFwm3",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"89","ESSFwm4",2.5,3,3.5,4.5,5,6,7,8
"90","ESSFwmp",3,3.5,4.5,5,5.5,6.5,7.5,8
"91","ESSFwmw",3,3.5,4,5,5.5,6.5,7.5,8
"92","ESSFwv",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"93","ESSFwvp",3,3.5,4.5,5,5.5,6.5,8,8
"94","ESSFxc1",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"95","ESSFxc2",2.5,3,3.5,4.5,5,6,7,8
"96","ESSFxc3",2,3,3.5,4,5,6,7,8
"97","ESSFxcp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"98","ESSFxcw",2.5,3,3.5,4.5,5,6,7,8
"99","ESSFxv1",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"100","ESSFxv2",2.5,3,3.5,4.5,5,6,7,8
"101","ESSFxvp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"102","ESSFxvw",2.5,3,3.5,4.5,5,6,7,8
"103","ICHdk",1.5,2,3,3.5,4,5.5,6.5,8
"104","ICHdm",1.5,2,3,3.5,4,5.5,6.5,8
"105","ICHdw1",1,2,2.5,3,4,5,6.5,8
"106","ICHdw3",1.5,2,3,3.5,4,5.5,6.5,8
"107","ICHdw4",1,1.5,2.5,3,3.5,4.5,6,8
"108","ICHmc1",3,3.5,4.5,5,5.5,6.5,7.5,8
"109","ICHmc1a",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"110","ICHmc2",2.5,3,3.5,4.5,5,6,7,8
"111","ICHmk1",1.5,2,3,3.5,4,5.5,6.5,8
"112","ICHmk2",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"113","ICHmk3",2,2.5,3,4,4.5,6,7,8
"114","ICHmk4",2,2.5,3.5,4,4.5,6,7,8
"115","ICHmk5",1.5,2,3,3.5,4,5.5,6.5,8
"116","ICHmm",2,2.5,3.5,4,4.5,6,7,8
"117","ICHmw1",2,2.5,3.5,4,4.5,6,7,8
"118","ICHmw2",2.5,3,3.5,4.5,5,6,7,8
"119","ICHmw3",2.5,3,3.5,4.5,5,6,7,8
"120","ICHmw4",3,3.5,4.5,5,5.5,6.5,8,8
"121","ICHmw5",2.5,3,3.5,4.5,5,6,7,8
"122","ICHvc",3.5,4,5,5.5,6,6.5,8,8
"123","ICHvk1",3.5,4,5,5.5,6,6.5,8,8
"124","ICHvk2",3.5,4,5,5.5,6,6.5,8,8
"125","ICHwc",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"126","ICHwk1",3,3.5,4,5,5.5,6.5,7.5,8
"127","ICHwk2",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"128","ICHwk3",3,4,4.5,5,6,6.5,8,8
"129","ICHwk4",3,4,4.5,5,6,6.5,8,8
"130","ICHxw",1,1.5,2.5,3,3.5,4.5,6,8
"131","ICHxwa",0.5,1.5,2,2.5,3.5,4,6,8
"132","IDFdc",1,1.5,2.5,3,3.5,4.5,6,8
"133","IDFdk1",0.5,1.5,2,3,3.5,4.5,6,8
"134","IDFdk2",1,1.5,2.5,3,3.5,4.5,6,8
"135","IDFdk3",0.5,1.5,2,2.5,3.5,4,6,8
"136","IDFdk4",0.5,1,2,2.5,3,4,6,8
"137","IDFdk5",0.5,1.5,2,2.5,3.5,4,6,8
"138","IDFdm1",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"139","IDFdm2",0.5,1,2,2.5,3,4,6,8
"140","IDFdw",0.5,1.5,2,3,3.5,4.5,6,8
"141","IDFmw1",0.5,1.5,2,3,3.5,4.5,6,8
"142","IDFmw2",1,2,2.5,3,4,5,6.5,8
"143","IDFww",1,1.5,2.5,3,3.5,4.5,6,8
"144","IDFww1",0.5,1,2,2.5,3,4,6,8
"145","IDFxc",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"146","IDFxh1",0.5,0.5,1.5,2,2.5,3.5,5.5,7.5
"147","IDFxh2",0.5,0.5,1.5,2,2.5,3.5,5.5,7.5
"148","IDFxh4",0.5,0.5,1.5,2,3,3.5,5.5,7.5
"149","IDFxk",0.5,0.5,1,1.5,2.5,3.5,5.5,7.5
"150","IDFxm",0.5,0.5,1.5,2,3,3.5,5.5,7.5
"151","IDFxw",0.5,1,1.5,2.5,3,3.5,5.5,7.5
"152","IDFxx2",0.5,0.5,1,2,2.5,3.5,5.5,7.5
"153","IMAun",3,3.5,4.5,5,6,6.5,8,8
"154","IMAunp",2.5,3,4,4.5,5,6.5,7.5,8
"155","MHmm1",3,3.5,4.5,5,6,6.5,8,8
"156","MHmm2",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"157","MHmmp",3,3.5,4.5,5,5.5,6.5,8,8
"158","MHun",2.5,3,3.5,4.5,5,6,7,8
"159","MHunp",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"160","MHwh",3,3.5,4.5,5,6,6.5,8,8
"161","MHwh1",3,3.5,4.5,5,6,6.5,8,8
"162","MHwhp",3,3.5,4.5,5,6,6.5,8,8
"163","MSdc1",1.5,2,3,3.5,4,5.5,6.5,8
"164","MSdc2",2,2.5,3,4,4.5,6,7,8
"165","MSdc3",2,2.5,3,4,4.5,6,7,8
"166","MSdk",1.5,2,3,3.5,4,5.5,6.5,8
"167","MSdm1",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"168","MSdm2",1.5,2,3,3.5,4,5.5,6.5,8
"169","MSdm3",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"170","MSdv",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"171","MSdw",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"172","MSmw1",1.5,2,3,3.5,4,5.5,6.5,8
"173","MSmw2",1.5,2,2.5,3.5,4,5,6.5,8
"174","MSxk1",1.5,2,3,3.5,4,5.5,6.5,8
"175","MSxk2",1,2,2.5,3,4,5,6.5,8
"176","MSxk3",2,2.5,3,4,4.5,6,7,8
"177","MSxv",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"178","PPxh1",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"179","PPxh2",0.5,0.5,0.5,1.5,2,3.5,5.5,7.5
"180","PPxh3",0.5,0.5,1,1.5,2.5,3.5,5.5,7.5
"181","SBPSdc",1,1.5,2.5,3,3.5,4.5,6,8
"182","SBPSmc",1.5,2,2.5,3.5,4,5,6.5,8
"183","SBPSmk",1.5,2,2.5,3.5,4,5,6.5,8
"184","SBPSxc",1,2,2.5,3,4,5,6.5,8
"185","SBSdh1",1.5,2,3,3.5,4,5.5,6.5,8
"186","SBSdh2",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"187","SBSdk",1.5,2,2.5,3.5,4,5,6.5,8
"188","SBSdw1",1.5,2,3,3.5,4,5.5,6.5,8
"189","SBSdw2",1.5,2,2.5,3.5,4,5,6.5,8
"190","SBSdw3",1.5,2,3,3.5,4,5.5,6.5,8
"191","SBSmc1",2,3,3.5,4,5,6,7,8
"192","SBSmc2",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"193","SBSmc3",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"194","SBSmh",1,1.5,2.5,3,3.5,4.5,6,8
"195","SBSmk1",2,2.5,3,4,4.5,6,7,8
"196","SBSmk2",2,2.5,3,4,4.5,6,7,8
"197","SBSmm",2,2.5,3,4,4.5,6,7,8
"198","SBSmw",2,2.5,3,4,4.5,6,7,8
"199","SBSun",2,2.5,3,4,4.5,6,7,8
"200","SBSvk",3,3.5,4,5,5.5,6.5,7.5,8
"201","SBSwk1",2,3,3.5,4,5,6,7,8
"202","SBSwk2",2,3,3.5,4,5,6,7,8
"203","SBSwk3",2,2.5,3,4,4.5,6,7,8
"204","SBSwk3a",1.5,2.5,3,3.5,4.5,5.5,6.5,8
"205","SWBmk",3,3.5,4,5,5.5,6.5,7.5,8
"206","SWBmks",3,3.5,4.5,5,5.5,6.5,8,8
"207","SWBun",2.5,3,4,4.5,5,6.5,7.5,8
"208","SWBuns",2.5,3.5,4,4.5,5.5,6.5,7.5,8
"209","SWBvk",3,3.5,4.5,5,6,6.5,8,8
"210","SWBvks",3,3.5,4.5,5,6,6.5,8,8
