TreeSpp,BGC,SMR,SNR,si50_2,numbersites
At,BWBSdk,3,C,12.3183333333333,12
At,BWBSdk,3,D,11.215,4
At,BWBSdk,4,C,10.454,5
At,BWBSmw,3,C,17.0883333333333,6
At,BWBSmw,4,C,17.525,8
At,ICHmc2,4,D,16.23,4
At,SBSdk,5,D,21.59,4
At,SBSdw2,4,D,17.7766666666667,6
At,SBSdw3,4,C,18.6516666666667,12
At,SBSdw3,5,D,22.375,10
At,SBSmk1,4,C,17.895,8
At,SBSwk1,4,C,22.0675,4
Ba,CWHvh2,3,C,27.9616666666667,30
Ba,CWHvh2,3,D,30.008,10
Ba,CWHvm1,3,C,30.8828570338658,7
Ba,CWHvm1,4,C,30.4540741305881,27
Ba,CWHvm1,4,D,30.6368181818182,22
Ba,CWHvm1,5,C,28.4231578947368,19
Ba,CWHvm1,5,D,30.9587494277954,8
Ba,CWHvm2,4,C,27.6179999237061,5
Ba,CWHws1,5,D,29.5842857142857,14
Ba,ESSFdh1,4,C,16.206,5
Ba,ESSFmw1,4,C,16.36,4
Bl,ESSFdc2,3,C,15.03125,8
Bl,ESSFdc2,4,C,15.4425,16
Bl,ESSFdk2,4,C,17.495,4
Bl,ESSFmc,2,B,14.3975,4
Bl,ESSFmc,4,C,14.5014285714286,7
Bl,ESSFmc,5,D,11.172,5
Bl,ESSFmh,2,B,15.1275,4
Bl,ESSFmh,3,B,17.1754545454545,11
Bl,ESSFmh,3,C,19.5771428571429,7
Bl,ESSFmh,4,C,17.584,5
Bl,ESSFmw1,3,C,16.878,5
Bl,ESSFwk1,5,D,21.5257142857143,7
Bl,ESSFwk2,4,C,18.796,5
Bl,ESSFwm4,4,C,21.8925,4
Bl,ESSFwv,4,C,15.798,5
Bl,ESSFxv1,3,C,10.3475,4
Bl,ICHmc1,4,C,16.694,5
Bl,ICHmc1,4,D,17.07,6
Bl,ICHmc2,4,C,18.6333333333333,9
Bl,ICHmk3,4,C,21.0616666666667,6
Bl,ICHmk3,5,D,21.2771428571429,7
Bl,ICHwk2,5,D,23.626,5
Bl,MSdk,4,C,16.942,5
Bl,MSdm1,4,C,20.41,4
Bl,MSdm2,4,C,16.838,5
Bl,MSxk1,3,B,15.0425,4
Bl,SBSdw3,4,C,21.21,8
Bl,SBSmc2,3,C,15.5425,4
Bl,SBSmc2,4,C,15.4585,20
Bl,SBSmc2,4,D,18.468,10
Bl,SBSmc2,5,D,18.3692857142857,14
Bl,SBSmc2,6,D,17.715,8
Bl,SBSmc3,4,C,20.76,4
Bl,SBSmk1,4,C,15.892,5
Bl,SBSwk1,4,C,20.9325,4
Bl,SBSwk3,4,C,16.735625,16
Bl,SBSwk3,5,D,19.625,4
Cw,CWHvh2,3,C,23.6941666666667,12
Cw,CWHvh2,4,C,21.075,4
Cw,CWHvh2,4,D,24.55,5
Cw,CWHvm1,4,C,22.1611111534966,9
Cw,CWHvm1,5,D,24.6950000635783,12
Cw,CWHvm1,6,A,13.43,4
Cw,CWHwh1,3,C,21.142,5
Cw,CWHws1,5,D,22.7369230769231,13
Cw,ICHmc2,3,C,14.9580555555556,36
Cw,ICHmc2,4,C,16.0424324324324,37
Cw,ICHmc2,4,D,15.798,10
Cw,ICHmc2,5,D,17.611,10
Cw,ICHmw4,4,C,17.5875,4
Cw,ICHmw5,4,C,16.0971428571429,7
Dr,CWHvm1,6,D,27.9925,8
Ep,ICHdw4,4,C,21.852,5
Ep,SBSdw3,4,C,18.1925,4
Ep,SBSdw3,5,D,20.9325,4
Fd,CWHds1,2,B,31.0349998092651,4
Fd,CWHvm1,4,C,38.8700001907349,4
Fd,CWHxm2,3,C,34.2894117647059,17
Fd,CWHxm2,4,C,35.7242857142857,7
Fd,ICHdk,3,C,23.524,5
Fd,ICHdw1,3,C,23.8,6
Fd,ICHmk1,3,C,19.215,6
Fd,ICHmk1,4,C,19.915,4
Fd,ICHmk3,4,C,23.46,8
Fd,ICHmm,4,C,22.8633333333333,6
Fd,ICHmw2,3,C,20.7425,4
Fd,ICHmw5,4,C,20.38,4
Fd,ICHwk2,3,C,22.34,5
Fd,ICHwk2,4,C,22.284,5
Fd,ICHxm1,3,C,18.9,6
Fd,ICHxm1,4,C,21.0457142857143,7
Fd,IDFdk1,4,C,17.4,5
Fd,IDFdk2,3,B,15.6591666666667,12
Fd,IDFdk2,4,C,19.2611111111111,18
Fd,IDFdk3,3,C,15.8225,4
Fd,IDFdk3,4,C,17.3875,12
Fd,IDFdk3,5,D,21.28,5
Fd,IDFdk4,2,C,10.6975,4
Fd,IDFdk4,3,C,13.022,10
Fd,IDFdk4,4,C,15.2533333333333,6
Fd,IDFdk5,3,C,20.7725,4
Fd,IDFdk5,4,C,21.77,20
Fd,IDFdk5,5,C,21.7025,4
Fd,IDFxm,3,C,17.346,5
Fd,MSdk,3,C,17.7692307692308,13
Fd,MSdk,3,D,22.098,5
Fd,MSdk,4,C,19.7692857142857,14
Fd,MSdm2,3,C,18.7816666666667,6
Fd,MSxk1,3,B,17.1225,4
Fd,SBSdw1,3,C,20.1625,4
Fd,SBSdw2,4,C,20.8083333333333,6
Fd,SBSdw3,1,B,14.374,5
Fd,SBSdw3,3,C,18.7045454545455,11
Fd,SBSdw3,4,C,20.8522222222222,9
Fd,SBSmk1,4,C,22.15,4
Fd,SBSwk1,3,C,22.57,4
Fd,SBSwk1,4,C,24.8975,4
Hw,CWHvh2,3,C,27.5875,32
Hw,CWHvh2,3,D,28.9069230769231,13
Hw,CWHvh2,4,D,29.462,5
Hw,CWHvh2,5,D,24.4175,4
Hw,CWHvm1,0,A,8.376,5
Hw,CWHvm1,3,C,28.550999961853,10
Hw,CWHvm1,4,C,28.145250038147,40
Hw,CWHvm1,4,D,29.0709522356306,21
Hw,CWHvm1,5,C,27.0684210526316,19
Hw,CWHvm1,5,D,29.2181818181818,11
Hw,CWHvm1,6,A,12.725,4
Hw,CWHwm,4,C,21.05625,8
Hw,CWHws1,5,D,28.7163157894737,19
Hw,CWHws2,3,C,16.25,4
Hw,CWHws2,4,C,17.1722222222222,9
Hw,ICHmc2,4,C,19.3666666666667,9
Hw,ICHmc2,5,D,22.5625,4
Hw,ICHmw5,4,C,19.9525,4
Lw,MSdw,4,C,21.75,5
Pl,BWBSdk,2,B,11.702,5
Pl,BWBSdk,3,B,14.0270588235294,34
Pl,BWBSdk,4,B,15.2211111111111,18
Pl,BWBSdk,4,C,16.5143243243243,37
Pl,BWBSdk,5,C,17.74,4
Pl,BWBSmk,2,B,12.4675,4
Pl,BWBSmk,3,B,11.99625,32
Pl,BWBSmk,4,B,10.889375,16
Pl,BWBSmk,4,C,13.8859615384615,52
Pl,CWHws1,1,B,20.225,4
Pl,ESSFdc1,2,B,15.3025,4
Pl,ESSFdc1,4,C,19.03,5
Pl,ESSFdc2,2,B,14.8916666666667,6
Pl,ESSFdc2,3,C,15.8066666666667,9
Pl,ESSFdc2,4,C,16.706875,16
Pl,ESSFmc,4,C,23.0025,4
Pl,ESSFmc,4,D,21.1628571428571,7
Pl,ESSFmc,5,D,12.0475,4
Pl,ESSFmh,2,B,14.92,6
Pl,ESSFmh,3,B,16.85375,8
Pl,ESSFmh,3,C,19.665,4
Pl,ESSFmh,4,C,21.138,5
Pl,ESSFmw1,3,C,19.525,4
Pl,ESSFwm4,3,B,17.115,4
Pl,ESSFxv1,3,C,13.1466666666667,6
Pl,ICHmc1,3,C,20.1675,4
Pl,ICHmc1,4,C,20.9277777777778,9
Pl,ICHmc1,4,D,21.5725,4
Pl,ICHmc1,5,D,21.42,4
Pl,ICHmc2,3,B,20.344,10
Pl,ICHmc2,3,C,20.5816666666667,6
Pl,ICHmc2,4,C,19.2868421052632,19
Pl,ICHmk1,3,C,19.4528571428571,7
Pl,ICHwc,3,B,14.652,5
Pl,ICHwc,4,C,19.3025,4
Pl,ICHwk4,5,C,22.5425,4
Pl,ICHxm1,3,C,18.9566666666667,6
Pl,IDFdk2,3,B,15.15125,8
Pl,IDFdk2,3,C,18.2857142857143,7
Pl,IDFdk2,4,C,18.5715384615385,13
Pl,IDFdk3,4,C,19.5527272727273,11
Pl,IDFdk4,4,C,16.5366666666667,6
Pl,IDFdk5,4,C,20.755,12
Pl,MSdk,2,C,16.8125,4
Pl,MSdk,3,C,18.3407142857143,14
Pl,MSdk,4,C,20.2743181818182,44
Pl,MSdk,5,D,20.2985714285714,7
Pl,MSdm1,3,B,16.08,6
Pl,MSdm1,3,C,20.034,5
Pl,MSdm1,4,C,19.41,13
Pl,MSdm1,5,C,19.5177777777778,9
Pl,MSdm2,2,B,17.3257142857143,7
Pl,MSdm2,3,B,15.72625,8
Pl,MSdm2,3,C,17.27875,8
Pl,MSdm2,4,C,17.5294117647059,17
Pl,MSxk1,3,B,13.9183333333333,6
Pl,MSxk1,3,C,15.376,5
Pl,MSxk1,4,B,14.046,5
Pl,MSxk1,4,C,15.907,10
Pl,MSxk2,3,C,15.70375,8
Pl,MSxv,3,B,13.8442857142857,7
Pl,MSxv,4,C,13.858,10
Pl,SBPSdc,5,C,19.34,4
Pl,SBPSmk,3,C,19.5414285714286,7
Pl,SBPSxc,2,B,12.3475,4
Pl,SBPSxc,4,C,15.4,11
Pl,SBSdk,3,C,17.1275,4
Pl,SBSdk,4,C,21.01,7
Pl,SBSdk,4,D,20.612,5
Pl,SBSdk,5,C,21.98,5
Pl,SBSdk,5,D,22.759,10
Pl,SBSdw1,3,C,21.135,4
Pl,SBSdw2,4,C,19.82,5
Pl,SBSdw3,2,B,20.0225,4
Pl,SBSdw3,4,C,20.4525,8
Pl,SBSmc2,3,B,17.6558333333333,12
Pl,SBSmc2,3,C,19.25,4
Pl,SBSmc2,4,B,15.8725,8
Pl,SBSmc2,4,C,18.6273529411765,34
Pl,SBSmc2,4,D,19.572,20
Pl,SBSmc2,5,D,18.5216666666667,12
Pl,SBSmc3,4,C,19.46,5
Pl,SBSmk1,3,B,19.7377777777778,9
Pl,SBSmk1,4,C,20.35125,8
Pl,SBSmk1,5,D,21.48,4
Pl,SBSmw,2,B,16.426,5
Pl,SBSmw,4,C,21.8483333333333,12
Pl,SBSmw,5,B,18.5175,4
Pl,SBSmw,5,C,22.4725,4
Pl,SBSwk3,4,C,19.3545454545455,11
Py,IDFdm2,2,C,13.6925,4
Sb,BWBSdk,5,B,10.2914285714286,7
Sb,BWBSmk,4,B,7.291,10
Sb,BWBSmk,4,C,13.0228571428571,7
Sb,BWBSmk,5,B,8.44181818181818,11
Sb,BWBSmk,5,C,12.3868421052632,19
Sb,BWBSmk,6,A,8.59909090909091,11
Sb,BWBSmk,6,B,9.7545,20
Ss,CWHvh2,3,C,31.9854285714286,35
Ss,CWHvh2,3,D,32.7833333333333,12
Ss,CWHvh2,4,C,26.3766666666667,6
Ss,CWHvh2,4,D,33.923,10
Ss,CWHvh2,5,D,30.1355555555556,9
Ss,CWHvm1,4,C,31.6666666348775,24
Ss,CWHvm1,4,D,33.065625,16
Ss,CWHvm1,5,C,29.145,14
Ss,CWHvm1,5,D,30.6815789473684,19
Ss,CWHvm1,5,E,29.758,5
Ss,CWHvm1,6,D,29.41,11
Ss,CWHwh1,,,30.3835714285714,14
Ss,CWHwm,5,D,29.955,4
Sx,BWBSdk,4,B,13.876,5
Sx,BWBSdk,4,C,13.9990909090909,11
Sx,BWBSmk,4,C,17.1488235294118,17
Sx,BWBSmw,4,C,20.1478571428571,28
Sx,BWBSmw,5,D,19.325,10
Sx,CWHws1,3,C,24.1425,4
Sx,CWHws1,5,D,27.6427272727273,11
Sx,ESSFdc2,3,C,14.084,5
Sx,ESSFdc2,4,C,15.9192307692308,13
Sx,ESSFdh1,4,C,20.2425,4
Sx,ESSFdk2,4,C,17.7777777777778,9
Sx,ESSFmc,1,B,13.382,5
Sx,ESSFmc,4,C,15.3775,8
Sx,ESSFmc,5,D,12.78,4
Sx,ESSFmh,4,C,16.8585714285714,7
Sx,ESSFmw1,3,C,15.3185714285714,7
Sx,ESSFmw1,4,C,15.605,4
Sx,ESSFwk1,5,D,24.9133333333333,9
Sx,ESSFwm4,4,C,19.6,4
Sx,ICHdm,4,C,20.4275,4
Sx,ICHmc1,4,C,19.42,8
Sx,ICHmc1,4,D,21.56,10
Sx,ICHmc1,5,D,25.7475,4
Sx,ICHmc2,3,C,22.0883333333333,6
Sx,ICHmc2,4,C,21.964,15
Sx,ICHmc2,4,D,24.01,5
Sx,ICHmk3,4,C,21.27,10
Sx,ICHmk3,5,C,21.4,4
Sx,ICHmk3,5,D,21.6875,4
Sx,ICHmm,4,C,22.8925,4
Sx,ICHmw5,4,C,22.175,4
Sx,ICHvc,4,C,25.35,4
Sx,ICHwk2,3,C,20.2,5
Sx,ICHwk2,5,C,23.73,4
Sx,ICHwk3,3,C,21.4216666666667,6
Sx,ICHwk3,4,C,20.9377777777778,9
Sx,ICHwk4,4,C,24.7475,4
Sx,ICHwk4,5,C,24.865,6
Sx,IDFdk3,4,C,19.9125,4
Sx,IDFdk4,5,C,15.0842857142857,7
Sx,IDFdk5,5,D,22.0057142857143,7
Sx,MSdk,4,C,20.6686666666667,15
Sx,MSdk,4,D,22.3166666666667,6
Sx,MSdk,5,D,23.67,11
Sx,MSdm1,3,C,17.606,5
Sx,MSdm1,4,C,18.8866666666667,6
Sx,MSdm1,5,C,17.8233333333333,6
Sx,MSdm1,5,D,19.9975,4
Sx,MSdm2,4,C,16.7085714285714,7
Sx,MSxk2,4,C,14.75875,8
Sx,MSxv,4,C,17.227,10
Sx,MSxv,5,C,15.4925,4
Sx,MSxv,5,D,21.4375,4
Sx,SBPSdc,4,C,18.5925,4
Sx,SBPSmk,3,C,20.58,4
Sx,SBPSxc,4,C,17.23,5
Sx,SBPSxc,5,C,14.1985714285714,7
Sx,SBSdk,5,D,22.2083333333333,6
Sx,SBSdw1,4,C,22.05,7
Sx,SBSdw3,3,C,15.91,4
Sx,SBSdw3,4,C,19.0152631578947,19
Sx,SBSdw3,5,C,20.9115384615385,13
Sx,SBSdw3,5,D,21.9375,8
Sx,SBSmc2,3,B,19.89,14
Sx,SBSmc2,4,B,18.668,5
Sx,SBSmc2,4,C,20.41,70
Sx,SBSmc2,4,D,22.340652173913,46
Sx,SBSmc2,5,C,20.2285714285714,7
Sx,SBSmc2,5,D,19.2015384615385,13
Sx,SBSmc2,6,D,17.7457142857143,7
Sx,SBSmc2,,,23.486,10
Sx,SBSmc3,4,C,21.5875,4
Sx,SBSmk1,2,B,12.505,4
Sx,SBSmk1,4,C,18.34625,8
Sx,SBSmk1,5,D,22.3671428571429,7
Sx,SBSmw,4,C,20.7693333333333,15
Sx,SBSmw,5,B,19.0683333333333,6
Sx,SBSmw,5,C,22.4725,8
Sx,SBSvk,4,C,20.5175,4
Sx,SBSwk1,4,C,21.5333333333333,6
Sx,SBSwk1,5,C,21.9525,4
Sx,SBSwk2,4,C,20.0925,4
Sx,SBSwk3,4,C,18.2125,12
